crn, date, julian, carb
#, mmddyy, day, mg/m2/day
 225, 090410,  8008,   20.500
 226, 100410,  8038,   18.400
 228, 010911,  8135,   27.900
 229, 012911,  8155,   20.000
 230, 030111,  8186,   20.800
 231, 041211,  8228,   25.900
 232, 051011,  8256,   23.400
 233, 072011,  8327,   25.700
 236, 110511,  8435,   31.900
 239, 011912,  8510,   10.700
 240, 032512,  8576,   22.600
 241, 050212,  8614,   46.800
 242, 053112,  8643,   45.000
 243, 062712,  8670,   33.900
 244, 080112,  8705,   38.800
 245, 081812,  8722,   19.100
 246, 091512,  8750,   22.800
 247, 100812,  8773,   23.300
 248, 120412,  8830,   15.400
 249, 021313,  8901,   15.900
 250, 030713,  8923,   16.300
 251, 040613,  8953,   20.500
 252, 051813,  8995,   21.400
 253, 062613,  9034,   31.900
 254, 091213,  9112,   27.300
 255, 100213,  9132,   19.600
 256, 102813,  9158,   21.800
 257, 112713,  9188,   14.600
 258, 122113,  9212,   11.100
 259, 011614,  9238,   23.000
 260, 021514,  9268,   13.500
 261, 030614,  9287,   16.400
 262, 041114,  9323,   30.400
 263, 060114,  9374,   26.000
 264, 070114,  9404,   34.000
 265, 091514,  9480,   28.700
 266, 101414,  9509,   27.300
 267, 112214,  9548,   22.900
 268, 121714,  9573,   16.500
 269, 022515,  9643,   60.700
 270, 032915,  9675,   17.500
 271, 042215,  9699,   35.600
 272, 052415,  9731,   30.600
 273, 062015,  9758,   20.800
 274, 072015,  9788,   32.300
 275, 081315,  9812,   57.400
 277, 101415,  9874,   22.400
 281, 021016,  9993,   31.200
 282, 030916, 10021,   39.500
 284, 052916, 10102,   33.600
 285, 071216, 10146,   35.700
 286, 081016, 10175,   25.100
 287, 101616, 10242,   19.600
 289, 012417, 10342,   28.700
 291, 032917, 10406,   22.100
 292, 042617, 10434,   28.900
 294, 062117, 10490,   33.300
 295, 080917, 10539,   35.100
 296, 100717, 10598,   21.100
 297, 110917, 10631,   15.100
 298, 121317, 10665,   19.700
 302, 051618, 10819,   47.600
 304, 072518, 10889,   32.500
 305, 091118, 10937,   18.600
 306, 101318, 10969,   15.800
 307, 111718, 11004,   13.900
